TAIR_OBJECT_ID	NAME
2005551	AT1G75800.1
2005584	AT1G75690.1
2005598	AT1G75680.1
2005603	AT1G75770.1
2005608	AT1G75550.1
2005613	AT1G75660.1
2005618	AT1G75760.1
2005623	AT1G75540.1
2005628	AT1G75640.1
2005633	AT1G75750.1
2005638	AT1G75610.1
2005643	AT1G75530.1
2005648	AT1G75630.1
2005653	AT1G75730.1
2005663	AT1G75620.1
2005668	AT1G75720.1
2005678	AT1G75600.1
2005683	AT1G75710.1
2005693	AT1G75590.1
2005698	AT1G75700.1
2005703	AT1G75490.1
2005708	AT1G75580.1
2005718	AT1G75560.1
2005728	AT1G75670.1
2006716	AT1G14710.1
2006726	AT1G14910.1
2006731	AT1G14820.1
2006736	AT1G14690.1
2006741	AT1G14700.1
2006746	AT1G14920.1
2006751	AT1G14730.1
2006756	AT1G14930.1
2006766	AT1G14880.1
2006771	AT1G14870.1
2006776	AT1G14830.1
2006781	AT1G14760.1
2006786	AT1G14840.1
2006791	AT1G14770.1
2006796	AT1G14940.1
2006801	AT1G14850.1
2006806	AT1G14780.1
2006811	AT1G14950.1
2006816	AT1G14860.1
2006821	AT1G14790.1
2006826	AT1G14750.1
2006831	AT1G14960.1
2006836	AT1G14740.1
2006841	AT1G14890.1
2006846	AT1G14800.1
2006856	AT1G14720.1
2006861	AT1G14900.1
2006866	AT1G14810.1
2006881	AT1G33420.1
2006891	AT1G33430.1
2006901	AT1G33530.1
2006906	AT1G33440.1
2006916	AT1G33540.1
2006921	AT1G33450.1
2006936	AT1G33460.1
2006992	AT1G33570.1
2006997	AT1G33470.1
2007007	AT1G33480.1
2007012	AT1G33400.1
2007017	AT1G33490.1
2007022	AT1G33410.1
2007027	AT1G33500.1
2007032	AT1G33520.1
2007080	AT1G69310.1
2007095	AT1G69430.1
2007105	AT1G69530.1
2007110	AT1G69440.1
2007120	AT1G69550.1
2007125	AT1G69450.1
2007140	AT1G69470.1
2007155	AT1G69480.1
2007165	AT1G69490.1
2007180	AT1G69500.1
2007185	AT1G69540.1
2007190	AT1G69510.1
2007195	AT1G69460.1
2007200	AT1G69520.1
2007237	AT1G49800.1
2007242	AT1G49810.1
2007247	AT1G49910.1
2007252	AT1G49820.1
2007257	AT1G49870.1
2007262	AT1G49830.1
2007267	AT1G49840.1
2007272	AT1G49850.1
2007277	AT1G49860.1
2007282	AT1G49880.1
2007287	AT1G49790.1
2007326	AT1G07160.1
2007331	AT1G07270.1
2007336	AT1G07150.1
2007341	AT1G07240.1
2007346	AT1G07000.1
2007351	AT1G07130.1
2007356	AT1G07230.1
2007361	AT1G07220.1
2007366	AT1G07110.1
2007371	AT1G07040.1
2007376	AT1G06980.1
2007381	AT1G07090.1
2007386	AT1G07030.1
2007391	AT1G06970.1
2007396	AT1G07210.1
2007401	AT1G06990.1
2007406	AT1G07080.1
2007411	AT1G07200.1
2007416	AT1G06960.1
2007421	AT1G07070.1
2007426	AT1G07180.1
2007431	AT1G07170.1
2007441	AT1G07060.1
2007446	AT1G07190.1
2007451	AT1G07260.1
2007456	AT1G07020.1
2007461	AT1G07250.1
2007466	AT1G07140.1
2007471	AT1G07010.1
2007476	AT1G07120.1
2007481	AT1G07050.1
2007508	AT1G03070.1
2007513	AT1G03060.1
2007518	AT1G03130.1
2007523	AT1G03050.1
2007528	AT1G03120.1
2007533	AT1G03040.1
2007538	AT1G03110.1
2007543	AT1G03030.1
2007548	AT1G03100.1
2007553	AT1G03020.1
2007558	AT1G03090.1
2007563	AT1G03010.1
2007568	AT1G03080.1
2007578	AT1G03160.1
2007583	AT1G03150.1
2007588	AT1G03140.1
2007600	AT1G35930.1
2007605	AT1G35860.1
2007610	AT1G35940.1
2007620	AT1G35880.1
2007625	AT1G35820.1
2007630	AT1G35890.1
2007635	AT1G35790.1
2007640	AT1G35830.1
2007650	AT1G35910.1
2007655	AT1G35920.1
2007660	AT1G35850.1
2007679	AT1G48430.1
2007689	AT1G48350.1
2007694	AT1G48390.1
2007704	AT1G48330.1
2007709	AT1G48270.1
2007714	AT1G48370.1
2007719	AT1G48380.1
2007734	AT1G48320.1
2007739	AT1G48360.1
2007749	AT1G48300.1
2007754	AT1G48280.1
2007764	AT1G48290.1
2007769	AT1G48400.1
2007774	AT1G48310.1
2007857	AT1G17500.1
2007882	AT1G17730.1
2007917	AT1G17750.1
2007927	AT1G17680.1
2007932	AT1G17690.1
2007947	AT1G17700.1
2007957	AT1G17710.1
2007962	AT1G17720.1
2007972	AT1G17760.1
2008030	AT1G50460.1
2008040	AT1G50450.1
2008055	AT1G50440.1
2008070	AT1G50430.1
2008085	AT1G50420.1
2008095	AT1G50410.1
2008108	AT1G48710.1
2008113	AT1G48690.1
2008118	AT1G48770.1
2008123	AT1G48670.1
2008128	AT1G48760.1
2008133	AT1G48660.1
2008138	AT1G48750.1
2008143	AT1G48650.1
2008148	AT1G48740.1
2008153	AT1G48640.1
2008163	AT1G48730.1
2008168	AT1G48820.1
2008173	AT1G48720.1
2008178	AT1G48800.1
2008183	AT1G48790.1
2008188	AT1G48700.1
2008193	AT1G48780.1
2008215	AT1G51190.1
2008220	AT1G51250.1
2008225	AT1G51260.1
2008230	AT1G51270.1
2008235	AT1G51340.1
2008245	AT1G51350.1
2008250	AT1G51200.1
2008255	AT1G51290.1
2008260	AT1G51360.1
2008265	AT1G51210.1
2008270	AT1G51300.1
2008275	AT1G51370.1
2008280	AT1G51220.1
2008290	AT1G51310.1
2008300	AT1G51230.1
2008305	AT1G51320.1
2008315	AT1G51240.1
2008320	AT1G51330.1
2008385	AT1G34790.1
2008424	AT1G61240.1
2008429	AT1G61160.1
2008439	AT1G61180.1
2008444	AT1G61260.1
2008449	AT1G61170.1
2008459	AT1G61150.1
2008464	AT1G61250.1
2008469	AT1G61140.1
2008474	AT1G61230.1
2008479	AT1G61130.1
2008484	AT1G61120.1
2008489	AT1G61110.1
2008494	AT1G61210.1
2008499	AT1G61100.1
2008504	AT1G61200.1
2008509	AT1G61190.1
2008519	AT1G67780.1
2008524	AT1G67840.1
2008529	AT1G67770.1
2008534	AT1G67830.1
2008539	AT1G67650.1
2008544	AT1G67820.1
2008549	AT1G67750.1
2008554	AT1G67740.1
2008564	AT1G67720.1
2008569	AT1G67800.1
2008584	AT1G67710.1
2008589	AT1G67790.1
2008594	AT1G67580.1
2008599	AT1G67690.1
2008609	AT1G67680.1
2008614	AT1G67700.1
2008619	AT1G67670.1
2008629	AT1G67730.1
2008634	AT1G67760.1
2008639	AT1G67850.1
